""2019-03-12 10:22:37 [main] INFO  windpark.Gk73Application - Started Gk73Application in 0.22 seconds (JVM running for 66.804)
""2019-03-12 10:22:37 [main] INFO  windpark.model.Message - Windengine sending Data='Windengine Info: ID = 47, timestamp = 2019-03-12 10:22:37.687, windspeed = 26,420000'
""2019-03-12 10:22:40 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:22:40 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
""2019-03-12 10:22:40 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@5053438: startup date [Tue Mar 12 10:22:40 CET 2019]; root of context hierarchy
""2019-03-12 10:22:41 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-03-12 10:22:41 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2019-03-12 10:22:41 [main] INFO  windpark.Gk73Application - Started Gk73Application in 0.141 seconds (JVM running for 70.0)
""2019-03-12 10:22:41 [main] INFO  windpark.model.Message - Windengine sending Data='Windengine Info: ID = 47, timestamp = 2019-03-12 10:22:40.962, windspeed = 76,320000'
""2019-03-12 10:22:44 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:22:44 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
""2019-03-12 10:22:44 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@46f72ee0: startup date [Tue Mar 12 10:22:44 CET 2019]; root of context hierarchy
""2019-03-12 10:22:44 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-03-12 10:22:44 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2019-03-12 10:22:44 [main] INFO  windpark.Gk73Application - Started Gk73Application in 0.13 seconds (JVM running for 73.16)
""2019-03-12 10:22:44 [main] INFO  windpark.model.Message - Windengine sending Data='Windengine Info: ID = 47, timestamp = 2019-03-12 10:22:44.131, windspeed = 79,260000'
""2019-03-12 10:22:47 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:22:47 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
""2019-03-12 10:22:47 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4b6bad1f: startup date [Tue Mar 12 10:22:47 CET 2019]; root of context hierarchy
""2019-03-12 10:22:47 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-03-12 10:22:47 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2019-03-12 10:22:47 [main] INFO  windpark.Gk73Application - Started Gk73Application in 0.136 seconds (JVM running for 76.323)
""2019-03-12 10:22:47 [main] INFO  windpark.model.Message - Windengine sending Data='Windengine Info: ID = 47, timestamp = 2019-03-12 10:22:47.289, windspeed = 72,360000'
""2019-03-12 10:22:50 [main] INFO  windpark.Gk73Application - Starting Gk73Application on Fabian-Traxler with PID 13510 (/home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine/target/classes started by ftraxler in /home/ftraxler/Dokumente/Github/dezsys-gk733-windpark-mom-ftraxler-tgm/Windengine)
""2019-03-12 10:22:50 [main] INFO  windpark.Gk73Application - No active profile set, falling back to default profiles: default
