""2019-01-22 01:44:24 [Thread-17] INFO  o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@3f1f89a1: startup date [Tue Jan 22 01:44:05 CET 2019]; root of context hierarchy
""2019-01-22 01:44:24 [Thread-33] INFO  o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@2a69e7de: startup date [Tue Jan 22 01:44:18 CET 2019]; root of context hierarchy
""2019-01-22 01:44:24 [Thread-29] INFO  o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@22c47088: startup date [Tue Jan 22 01:44:15 CET 2019]; root of context hierarchy
""2019-01-22 01:44:24 [Thread-13] INFO  o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@39632cc5: startup date [Tue Jan 22 01:44:02 CET 2019]; root of context hierarchy
""2019-01-22 01:44:24 [Thread-5] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2019-01-22 01:44:24 [Thread-13] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2019-01-22 01:44:24 [Thread-33] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2019-01-22 01:44:24 [Thread-29] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2019-01-22 01:44:24 [Thread-17] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2019-01-22 01:44:24 [Thread-25] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2019-01-22 01:44:24 [Thread-9] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2019-01-22 01:44:24 [Thread-37] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2019-01-22 01:44:24 [Thread-3] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2019-01-22 01:44:24 [Thread-21] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""2019-01-22 01:44:24 [Thread-5] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2019-01-22 01:44:24 [Thread-17] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2019-01-22 01:44:24 [Thread-25] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2019-01-22 01:44:24 [Thread-13] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2019-01-22 01:44:24 [Thread-33] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2019-01-22 01:44:24 [Thread-29] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2019-01-22 01:44:24 [Thread-3] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2019-01-22 01:44:24 [Thread-9] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2019-01-22 01:44:24 [Thread-21] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2019-01-22 01:44:24 [Thread-37] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
"
